instance,seed,n_ulds,n_packages,n_priority,n_economy,priority_ratio,priority_vol_frac,priority_wt_frac,attempts,b_rejects,a_rejects,K
instance_353,1353,3,141,59,82,0.4175,0.6001,0.6203,2,0,1,1000
instance_354,1354,5,86,51,35,0.5947,0.3792,0.433,1,0,0,5000
instance_355,1355,9,135,39,96,0.2874,0.0932,0.5041,1,0,0,100
instance_356,1356,2,272,161,111,0.591,0.6005,0.6733,1,0,0,1000
instance_357,1357,4,83,35,48,0.4212,0.3401,0.4621,1,0,0,2000
instance_358,1358,7,73,41,32,0.5568,0.4094,0.4734,1,0,0,500
instance_359,1359,5,161,109,52,0.676,0.6002,0.6237,1,0,0,5000
instance_360,1360,2,45,30,15,0.6654,0.6001,0.6453,1,0,0,1000
instance_361,1361,10,277,108,169,0.3886,0.1902,0.6151,1,0,0,500
instance_362,1362,8,80,21,59,0.2573,0.0206,0.2592,1,0,0,5000
instance_363,1363,5,248,78,170,0.3142,0.3385,0.6455,1,0,0,5000
instance_364,1364,6,109,34,75,0.3105,0.1557,0.5383,1,0,0,500
instance_365,1365,3,227,132,95,0.5809,0.6004,0.649,1,0,0,1000
instance_366,1366,10,281,79,202,0.2799,0.1186,0.5771,1,0,0,500
instance_367,1367,9,106,35,71,0.3279,0.0763,0.3418,1,0,0,1000
instance_368,1368,9,172,44,128,0.2586,0.1576,0.4442,1,0,0,100
instance_369,1369,8,174,47,127,0.269,0.1314,0.4716,1,0,0,5000
instance_370,1370,4,214,89,125,0.4165,0.6001,0.6151,1,0,0,2000
instance_371,1371,2,201,137,64,0.6811,0.6006,0.6463,1,0,0,500
instance_372,1372,5,60,40,20,0.6685,0.2609,0.4719,1,0,0,5000
instance_373,1373,6,232,116,116,0.5006,0.6001,0.5912,1,0,0,5000
instance_374,1374,6,24,9,15,0.3903,0.0323,0.3043,1,0,0,2000
instance_375,1375,4,57,26,31,0.4474,0.192,0.3797,1,0,0,2000
instance_376,1376,3,50,34,16,0.6789,0.6001,0.682,1,0,0,1000
instance_377,1377,7,208,109,99,0.5243,0.3662,0.6123,1,0,0,5000
instance_378,1378,10,17,7,10,0.4361,0.0121,0.0416,1,0,0,500
instance_379,1379,5,120,82,38,0.6804,0.6,0.6139,2,0,1,5000
instance_380,1380,7,202,84,118,0.4164,0.4625,0.5978,1,0,0,500
instance_381,1381,7,265,142,123,0.5345,0.4397,0.6192,1,0,0,5000
instance_382,1382,7,82,47,35,0.5749,0.1842,0.6333,1,0,0,5000
instance_383,1383,2,178,82,96,0.4581,0.6003,0.6527,1,0,0,500
instance_384,1384,4,76,24,52,0.3154,0.1624,0.3849,1,0,0,2000
instance_385,1385,1,272,95,177,0.349,0.6015,0.7657,2,0,1,100
instance_386,1386,10,279,180,99,0.6439,0.4714,0.6212,1,0,0,500
instance_387,1387,10,102,33,69,0.3272,0.0706,0.4295,1,0,0,500
instance_388,1388,1,223,72,151,0.3249,0.6045,0.6026,1,0,0,1000
instance_389,1389,3,224,130,94,0.5801,0.6003,0.6537,1,0,0,1000
instance_390,1390,1,203,124,79,0.6121,0.6065,0.6756,2,0,1,100
instance_391,1391,10,122,74,48,0.6041,0.1808,0.506,1,0,0,500
instance_392,1392,1,54,37,17,0.6835,0.6014,0.6993,1,0,0,100
instance_393,1393,4,143,82,61,0.5741,0.4042,0.6488,1,0,0,2000
instance_394,1394,1,210,98,112,0.4669,0.6005,0.6696,1,0,0,100
instance_395,1395,8,124,80,44,0.6486,0.4455,0.6232,1,0,0,100
instance_396,1396,2,169,92,77,0.5456,0.6002,0.6503,1,0,0,500
instance_397,1397,2,59,26,33,0.4422,0.5638,0.6443,3,0,2,1000
instance_398,1398,10,162,82,80,0.5059,0.2656,0.5338,1,0,0,1000
instance_399,1399,8,165,56,109,0.342,0.1726,0.6049,1,0,0,500
instance_400,1400,6,69,28,41,0.4068,0.1519,0.3358,1,0,0,2000
instance_401,1401,3,67,41,26,0.6143,0.6,0.557,1,0,0,1000
instance_402,1402,10,51,27,24,0.5352,0.0607,0.2696,1,0,0,500
instance_403,1403,5,246,129,117,0.5263,0.6002,0.6905,1,0,0,5000
instance_404,1404,6,252,157,95,0.6214,0.6003,0.6782,1,0,0,100
instance_405,1405,8,4,2,2,0.3935,0.0025,0.0357,1,0,0,100
instance_406,1406,10,21,13,8,0.6235,0.024,0.1101,1,0,0,500
instance_407,1407,3,270,109,161,0.4048,0.6005,0.5838,1,0,0,1000
instance_408,1408,6,131,35,96,0.2689,0.2041,0.5359,1,0,0,100
instance_409,1409,3,28,13,15,0.4769,0.1546,0.3309,1,0,0,1000
instance_410,1410,4,153,61,92,0.3976,0.6001,0.6175,1,0,0,2000
instance_411,1411,4,208,113,95,0.5447,0.6001,0.6612,1,0,0,2000
instance_412,1412,7,281,165,116,0.5884,0.4267,0.6998,1,0,0,1000
instance_413,1413,9,83,28,55,0.3329,0.0985,0.2366,1,0,0,100
instance_414,1414,3,89,31,58,0.3537,0.2182,0.6,1,0,0,5000
instance_415,1415,7,104,43,61,0.4093,0.1821,0.5308,1,0,0,5000
instance_416,1416,6,91,24,67,0.2632,0.1112,0.3701,1,0,0,5000
instance_417,1417,5,38,12,26,0.3046,0.0212,0.2603,1,0,0,5000
instance_418,1418,8,32,21,11,0.6503,0.0887,0.2258,1,0,0,2000
instance_419,1419,6,94,40,54,0.4204,0.1772,0.5236,1,0,0,1000
instance_420,1420,8,243,98,145,0.4018,0.3546,0.6126,1,0,0,5000
instance_421,1421,6,11,3,8,0.296,0.0148,0.0146,1,0,0,1000
instance_422,1422,9,85,53,32,0.6205,0.2256,0.4702,1,0,0,100
instance_423,1423,3,9,6,3,0.6456,0.1282,0.2292,1,0,0,5000
instance_424,1424,10,180,47,133,0.2617,0.1695,0.4592,1,0,0,500
instance_425,1425,3,35,16,19,0.4537,0.1826,0.5354,1,0,0,1000
instance_426,1426,7,205,100,105,0.4899,0.3875,0.5283,1,0,0,500
instance_427,1427,9,70,37,33,0.526,0.1216,0.4021,1,0,0,100
instance_428,1428,5,134,51,83,0.3805,0.4352,0.4601,1,0,0,5000
instance_429,1429,3,292,101,191,0.3447,0.6002,0.661,1,0,0,1000
instance_430,1430,5,240,110,130,0.459,0.5031,0.6378,1,0,0,5000
instance_431,1431,1,23,10,13,0.4138,0.6,0.4587,1,0,0,5000
instance_432,1432,9,167,48,119,0.2899,0.1095,0.4743,1,0,0,100
instance_433,1433,6,34,20,14,0.5873,0.1075,0.3737,1,0,0,5000
instance_434,1434,1,109,38,71,0.3457,0.6005,0.6507,1,0,0,5000
instance_435,1435,7,199,73,126,0.3688,0.2513,0.5769,1,0,0,2000
instance_436,1436,5,68,17,51,0.2522,0.0699,0.4069,1,0,0,5000
instance_437,1437,9,144,79,65,0.5471,0.1717,0.5653,1,0,0,100
instance_438,1438,10,230,135,95,0.5873,0.345,0.5775,1,0,0,500
instance_439,1439,4,144,96,48,0.6673,0.6001,0.6503,1,0,0,2000
instance_440,1440,8,131,35,96,0.2673,0.072,0.3477,1,0,0,100
instance_441,1441,10,69,18,51,0.2554,0.0643,0.1229,1,0,0,500
instance_442,1442,10,291,115,176,0.3952,0.1534,0.6156,1,0,0,500
instance_443,1443,3,208,137,71,0.6578,0.6003,0.6938,1,0,0,1000
instance_444,1444,8,164,97,67,0.5934,0.2253,0.6183,1,0,0,100
instance_445,1445,5,228,80,148,0.3509,0.1723,0.6194,1,0,0,5000
instance_446,1446,2,165,108,57,0.6576,0.6017,0.687,1,0,0,500
instance_447,1447,7,93,42,51,0.4529,0.2438,0.4852,1,0,0,2000
instance_448,1448,3,251,144,107,0.5749,0.6006,0.6496,1,0,0,1000
instance_449,1449,4,56,20,36,0.3484,0.1107,0.6333,1,0,0,2000
instance_450,1450,4,166,57,109,0.3434,0.6001,0.6042,1,0,0,2000
instance_451,1451,10,261,133,128,0.511,0.1885,0.5807,1,0,0,500
instance_452,1452,4,192,74,118,0.3832,0.6001,0.6108,1,0,0,2000
instance_453,1453,7,235,85,150,0.3596,0.378,0.6354,1,0,0,2000
instance_454,1454,4,162,47,115,0.2903,0.6001,0.5928,1,0,0,2000
instance_455,1455,4,279,84,195,0.3022,0.5647,0.6232,1,0,0,2000
instance_456,1456,9,55,24,31,0.4275,0.0584,0.232,1,0,0,100
instance_457,1457,7,97,53,44,0.5472,0.257,0.5432,1,0,0,2000
instance_458,1458,2,256,106,150,0.4159,0.6004,0.5778,1,0,0,500
instance_459,1459,1,44,27,17,0.6154,0.6009,0.5783,1,0,0,100
instance_460,1460,3,160,103,57,0.646,0.6003,0.6541,1,0,0,5000
instance_461,1461,1,139,94,45,0.6797,0.6059,0.6411,1,0,0,100
instance_462,1462,4,181,100,81,0.5512,0.6001,0.6462,1,0,0,2000
instance_463,1463,7,275,88,187,0.3204,0.3297,0.5648,1,0,0,1000
instance_464,1464,8,40,13,27,0.326,0.0531,0.1352,1,0,0,5000
instance_465,1465,7,262,179,83,0.6843,0.6001,0.6178,1,0,0,1000
instance_466,1466,3,57,17,40,0.3025,0.3244,0.4834,1,0,0,1000
instance_467,1467,4,27,16,11,0.5878,0.2018,0.3571,1,0,0,2000
instance_468,1468,3,211,104,107,0.4946,0.6003,0.6919,1,0,0,1000
instance_469,1469,8,228,88,140,0.3859,0.476,0.564,1,0,0,1000
instance_470,1470,7,123,85,38,0.6898,0.5045,0.596,1,0,0,100
instance_471,1471,5,243,65,178,0.2658,0.3437,0.5594,1,0,0,5000
instance_472,1472,1,76,27,49,0.3511,0.6006,0.48,2,0,1,100
instance_473,1473,1,20,8,12,0.377,0.5993,0.6368,1,0,0,100
instance_474,1474,7,62,22,40,0.3473,0.2035,0.2173,1,0,0,100
instance_475,1475,2,51,26,25,0.5176,0.6001,0.4858,3,0,2,500
instance_476,1476,5,17,5,12,0.2909,0.014,0.1005,1,0,0,5000
instance_477,1477,9,89,28,61,0.3188,0.0435,0.2528,1,0,0,100
instance_478,1478,7,98,65,33,0.6632,0.2616,0.6086,1,0,0,2000
instance_479,1479,1,233,114,119,0.4899,0.6007,0.6711,1,0,0,5000
instance_480,1480,1,264,74,190,0.2792,0.6006,0.912,1,0,0,100
instance_481,1481,8,104,51,53,0.4942,0.1659,0.5098,1,0,0,1000
instance_482,1482,6,132,56,76,0.428,0.2692,0.5108,1,0,0,100
instance_483,1483,5,6,2,4,0.2938,0.0247,0.0535,1,0,0,5000
instance_484,1484,10,298,92,206,0.3076,0.1746,0.5714,1,0,0,500
instance_485,1485,4,93,41,52,0.4433,0.2734,0.5522,1,0,0,2000
instance_486,1486,4,73,42,31,0.5776,0.4519,0.5396,1,0,0,2000
instance_487,1487,3,125,52,73,0.4171,0.6001,0.6702,1,0,0,1000
instance_488,1488,8,37,13,24,0.3405,0.0373,0.223,1,0,0,500
instance_489,1489,1,108,41,67,0.3836,0.6009,0.7333,1,0,0,2000
instance_490,1490,10,156,45,111,0.2883,0.0667,0.4099,1,0,0,500
instance_491,1491,5,143,86,57,0.5991,0.6001,0.636,1,0,0,5000
instance_492,1492,8,26,16,10,0.6246,0.0525,0.1765,1,0,0,1000
instance_493,1493,4,121,62,59,0.5099,0.5881,0.5259,1,0,0,2000
instance_494,1494,7,27,16,11,0.5811,0.0639,0.2679,1,0,0,5000
instance_495,1495,1,222,122,100,0.5512,0.6035,0.6873,1,0,0,100
instance_496,1496,8,175,92,83,0.5248,0.2824,0.5856,1,0,0,1000
instance_497,1497,9,161,91,70,0.5666,0.1744,0.5397,1,0,0,100
instance_498,1498,1,245,162,83,0.6605,0.6019,0.6939,1,0,0,100
instance_499,1499,2,160,69,91,0.4288,0.6004,0.6683,1,0,0,500
